Hour,Value 1,Value 2
1,8759,0.207618053
2,8758,0.293319539
3,8757,0.479669618
4,8756,0.063047652
5,8755,0.177429747
6,8754,0.374530174
7,8753,0.222154134
8,8752,0.275103397
9,8751,0.423714179
10,8750,0.851298173
11,8749,0.46893306
12,8748,0.53468916
13,8747,0.347604222
14,8746,0.628039251
15,8745,0.413481616
16,8744,0.63116312
17,8743,0.515145729
18,8742,0.142503769
19,8741,0.214888478
20,8740,0.680869281
21,8739,0.270258859
22,8738,0.621787014
23,8737,0.316493298
24,8736,0.945521532
25,8735,0.503414058
26,8734,0.466603503
27,8733,0.714412525
28,8732,0.82510948
29,8731,0.618881268
30,8730,0.805764717
31,8729,0.941580441
32,8728,0.016144405
33,8727,0.918689258
34,8726,0.759942664
35,8725,0.92880862
36,8724,0.080191356
37,8723,0.269289238
38,8722,0.019655431
39,8721,0.722866226
40,8720,0.165912726
41,8719,0.234691501
42,8718,0.621930503
43,8717,0.797673085
44,8716,0.284552986
45,8715,0.987389947
46,8714,0.730621532
47,8713,0.85391857
48,8712,0.129713282
49,8711,0.821642882
50,8710,0.365763959
51,8709,0.621574744
52,8708,0.511914548
53,8707,0.382991787
54,8706,0.433805059
55,8705,0.729306001
56,8704,0.000381697
57,8703,0.787270598
58,8702,0.848326523
59,8701,0.416669962
60,8700,0.548656033
61,8699,0.391769794
62,8698,0.638736954
63,8697,0.340111416
64,8696,0.129836561
65,8695,0.028731817
66,8694,0.774378404
67,8693,0.678527221
68,8692,0.830452517
69,8691,0.431798564
70,8690,0.765233068
71,8689,0.6522446
72,8688,0.003298348
73,8687,0.190871483
74,8686,0.923214655
75,8685,0.272363435
76,8684,0.725879535
77,8683,0.489660672
78,8682,0.229429149
79,8681,0.980224566
80,8680,0.043614904
81,8679,0.38632669
82,8678,0.200371433
83,8677,0.796920824
84,8676,0.975479508
85,8675,0.853404203
86,8674,0.05106633
87,8673,0.007898761
88,8672,0.606902567
89,8671,0.916320898
90,8670,0.867508177
91,8669,0.815389832
92,8668,0.12402647
93,8667,0.115575125
94,8666,0.209428231
95,8665,0.586919845
96,8664,0.314780531
97,8663,0.379478917
98,8662,0.722713796
99,8661,0.368077707
100,8660,0.170346924
101,8659,0.251320226
102,8658,0.174963201
103,8657,0.116534848
104,8656,0.873773759
105,8655,0.013936327
106,8654,0.610570696
107,8653,0.878124893
108,8652,0.903924658
109,8651,0.557292084
110,8650,0.564843648
111,8649,0.542677205
112,8648,0.438084864
113,8647,0.695939928
114,8646,0.87347806
115,8645,0.274305255
116,8644,0.78994484
117,8643,0.284770715
118,8642,0.609140834
119,8641,0.117414859
120,8640,0.858920275
121,8639,0.029680023
122,8638,0.349351026
123,8637,0.458675872
124,8636,0.357446639
125,8635,0.929913441
